# TIME,X,Y,WIDTH,HEIGHT,LENGHT,CX,ANGLE,TRAVELED DISTANCE,RELATIVE VELOCITY,TOTAL RELATIVE VELOCITY
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.641543516850725268e+02
6.599999999999999964e-04,2.530000000000000000e+02,2.380000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,2.998849860613301530e+02,6.325540560224205855e+00,1.811378726335988176e-02,nan,nan
6.800000000000000488e-04,2.280000000000000000e+02,2.390000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,2.791198465963566377e+02,1.667878292441708510e+01,2.076513946497351526e+01,2.763307835441793827e+02,nan
6.999999999999999929e-04,2.110000000000000000e+02,2.400000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,2.583665398636867963e+02,1.617093834773796601e+01,2.075330673266984149e+01,2.761733202054689400e+02,nan
7.200000000000000453e-04,2.110000000000000000e+02,2.390000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,2.583916587527698425e+02,1.613789779559777671e+01,2.511888908304626966e-02,nan,nan
7.399999999999999894e-04,1.950000000000000000e+02,2.390000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,2.376275828928399960e+02,1.315419465956478362e+01,2.076407585992984650e+01,2.763166296871540908e+02,nan
7.600000000000000418e-04,1.670000000000000000e+02,2.400000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,2.171615943765476402e+02,1.593118983644756348e+01,2.046598851629235583e+01,2.723498511653486389e+02,nan
7.799999999999999859e-04,1.710000000000000000e+02,2.400000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,2.171235487228761372e+02,1.566309585398202842e+01,3.804565367150303246e-02,nan,nan
8.000000000000000383e-04,1.480000000000000000e+02,2.430000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,1.959662113587347108e+02,1.540215974188351034e+01,2.115733736414142641e+01,2.815499323471170783e+02,nan
8.199999999999999824e-04,1.230000000000000000e+02,2.440000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,1.752465086585268637e+02,1.119249891954146570e+01,2.071970270020784710e+01,2.757261366632572503e+02,nan
8.400000000000000348e-04,1.230000000000000000e+02,2.440000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,1.752465086585268637e+02,1.119249891954146570e+01,0.000000000000000000e+00,nan,nan
8.599999999999999789e-04,1.010000000000000000e+02,2.450000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.500000000000000000e+01,1.550107676814625393e+02,9.851060451466404189e+00,2.023574097706432440e+01,2.692858465613187491e+02,nan
8.800000000000000313e-04,8.200000000000000000e+01,2.440000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,1.342200378967314123e+02,1.319434354718719149e+01,2.079072978473112698e+01,2.766713251100906064e+02,nan
8.999999999999999754e-04,8.400000000000000000e+01,2.440000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,1.342139810426540407e+02,1.317417709903976863e+01,6.056854077371554013e-03,nan,nan
9.200000000000000278e-04,6.200000000000000000e+01,2.460000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,1.137833016175071350e+02,1.029345231963371887e+01,2.043067942514690571e+01,2.718799776622636841e+02,nan
9.399999999999999719e-04,4.200000000000000000e+01,2.460000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,9.297648484848485850e+01,1.553406029175190994e+01,2.080681676902227650e+01,2.768854016387618913e+02,nan
9.600000000000000243e-04,4.100000000000000000e+01,2.460000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,9.301819063788502717e+01,1.502787580651057020e+01,4.170578940016866909e-02,nan,nan
9.799999999999999684e-04,2.000000000000000000e+01,2.470000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,7.280181470869149507e+01,5.682823547920158092e+00,2.021637592919353210e+01,2.690281474083449780e+02,nan
1.000000000000000021e-03,2.000000000000000000e+00,2.470000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,5.215771382893684915e+01,1.470363648057240091e+01,2.064410087975464592e+01,2.747200702066153895e+02,nan
1.020000000000000073e-03,2.000000000000000000e+00,2.470000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.300000000000000000e+01,5.217739353186038898e+01,1.470459525049939487e+01,1.967970292353982131e-02,nan,nan
1.039999999999999909e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.059999999999999961e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.080000000000000014e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100000000000000066e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.119999999999999902e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.139999999999999954e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.160000000000000007e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
